=== DEBUG SESSION START: 2025年 11月 30日 日曜日 14:25:14     ===
Session initialized
2025-11-30 04:36:49 test-service[20251130t133025]  [2025-11-30 04:36:49 +0000] [11] [INFO] Handling signal: term
2025-11-30 04:36:49 test-service[20251130t133025]  [2025-11-30 04:36:49 +0000] [14] [INFO] Worker exiting (pid: 14)
2025-11-30 04:36:49 test-service[20251130t133025]  [2025-11-30 04:36:49 +0000] [11] [INFO] Shutting down: Master
2025-11-30 04:37:28 test-service[20251130t133547]  "HEAD /test/follow/s-style/hon/backoffice/follow.html HTTP/1.1" 500
2025-11-30 04:37:28 test-service[20251130t133547]  "GET /_ah/start HTTP/1.1" 404
2025-11-30 04:37:29 test-service[20251130t133547]  [2025-11-30 04:37:29 +0000] [11] [INFO] Starting gunicorn 21.2.0
2025-11-30 04:37:29 test-service[20251130t133547]  [2025-11-30 04:37:29 +0000] [11] [INFO] Listening at: http://0.0.0.0:8081 (11)
2025-11-30 04:37:29 test-service[20251130t133547]  [2025-11-30 04:37:29 +0000] [11] [INFO] Using worker: sync
2025-11-30 04:37:29 test-service[20251130t133547]  [2025-11-30 04:37:29 +0000] [14] [INFO] Booting worker with pid: 14
2025-11-30 04:37:30 test-service[20251130t133547]  [2025-11-30 04:37:30,966] ERROR in app: Exception on /test/follow/s-style/hon/backoffice/follow.html [HEAD]
2025-11-30 04:37:30 test-service[20251130t133547]  Traceback (most recent call last):    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 1455, in wsgi_app      response = self.full_dispatch_request()                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 870, in full_dispatch_request      return self.finalize_request(rv)             ^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 889, in finalize_request      response = self.make_response(rv)                 ^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 1161, in make_response      raise TypeError(  TypeError: The view function for 'test.follow' did not return a valid response. The function either returned None or ended without a return statement.
2025-11-30 04:38:39 test-service[20251130t133547]  "GET /test/follow/s-style/hon/backoffice/follow.html HTTP/1.1" 500
2025-11-30 04:38:39 test-service[20251130t133547]  [2025-11-30 04:38:39,801] ERROR in app: Exception on /test/follow/s-style/hon/backoffice/follow.html [GET]
2025-11-30 04:38:39 test-service[20251130t133547]  Traceback (most recent call last):    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 1455, in wsgi_app      response = self.full_dispatch_request()                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 869, in full_dispatch_request      rv = self.handle_user_exception(e)           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 867, in full_dispatch_request      rv = self.dispatch_request()           ^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 852, in dispatch_request      return self.ensure_sync(self.view_functions[rule.endpoint])(**view_args)             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/workspace/main.py", line 186, in follow      return follow_route()             ^^^^^^^^^^^^^^    File "/workspace/application/follow.py", line 35, in follow_route      return handler.get()             ^^^^^^^^^^^^^    File "/workspace/application/follow.py", line 14, in get      if self.memberID == "" or not self.memberID:         ^^^^^^^^^^^^^  AttributeError: 'FollowHandler' object has no attribute 'memberID'
2025-11-30 04:40:52 test-service[20251130t133547]  "GET /_ah/stop HTTP/1.1" 500
2025-11-30 04:40:53 test-service[20251130t133547]  [2025-11-30 04:40:53 +0000] [11] [INFO] Handling signal: term
2025-11-30 04:40:53 test-service[20251130t133547]  [2025-11-30 04:40:53 +0000] [14] [INFO] Worker exiting (pid: 14)
2025-11-30 04:40:53 test-service[20251130t133547]  [2025-11-30 04:40:53 +0000] [11] [INFO] Shutting down: Master
2025-11-30 04:41:32 test-service[20251130t133945]  "GET /test/follow/s-style/hon/backoffice/follow.html HTTP/1.1" 500
2025-11-30 04:41:32 test-service[20251130t133945]  "GET /_ah/start HTTP/1.1" 404
2025-11-30 04:41:32 test-service[20251130t133945]  [2025-11-30 04:41:32 +0000] [11] [INFO] Starting gunicorn 21.2.0
2025-11-30 04:41:32 test-service[20251130t133945]  [2025-11-30 04:41:32 +0000] [11] [INFO] Listening at: http://0.0.0.0:8081 (11)
2025-11-30 04:41:32 test-service[20251130t133945]  [2025-11-30 04:41:32 +0000] [11] [INFO] Using worker: sync
2025-11-30 04:41:32 test-service[20251130t133945]  [2025-11-30 04:41:32 +0000] [15] [INFO] Booting worker with pid: 15
2025-11-30 04:41:34 test-service[20251130t133945]  [2025-11-30 04:41:34,618] ERROR in app: Exception on /test/follow/s-style/hon/backoffice/follow.html [GET]
2025-11-30 04:41:34 test-service[20251130t133945]  Traceback (most recent call last):    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 1455, in wsgi_app      response = self.full_dispatch_request()                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 869, in full_dispatch_request      rv = self.handle_user_exception(e)           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 867, in full_dispatch_request      rv = self.dispatch_request()           ^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 852, in dispatch_request      return self.ensure_sync(self.view_functions[rule.endpoint])(**view_args)             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/workspace/main.py", line 186, in follow      return follow_route()             ^^^^^^^^^^^^^^    File "/workspace/application/follow.py", line 35, in follow_route      return handler.get()             ^^^^^^^^^^^^^    File "/workspace/application/follow.py", line 25, in get      return render_template(self.dirpath, **self.tmpl_val)             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/templating.py", line 152, in render_template      return _render(app, template, context)             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/templating.py", line 133, in _render      rv = template.render(context)           ^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/jinja2/environment.py", line 1295, in render      self.environment.handle_exception()    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/jinja2/environment.py", line 942, in handle_exception      raise rewrite_traceback_stack(source=source)    File "/workspace/templates/follow.html", line 1, in top-level template code      {% extends "followpagebase.html" %}      ^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/jinja2/environment.py", line 942, in handle_exception      raise rewrite_traceback_stack(source=source)    File "/workspace/templates/followpagebase.html", line 52, in template      var ajaxURL = "https://{{Domain|default_if_none:""}}/jsonservice";      ^^^^^^^^^^^^^^^^^^^^^^^^^  jinja2.exceptions.TemplateSyntaxError: expected token 'end of print statement', got ':'
2025-11-30 04:44:07 test-service[20251130t133945]  "GET /_ah/stop HTTP/1.1" 500
2025-11-30 04:44:08 test-service[20251130t133945]  [2025-11-30 04:44:08 +0000] [11] [INFO] Handling signal: term
2025-11-30 04:44:08 test-service[20251130t133945]  [2025-11-30 04:44:08 +0000] [15] [INFO] Worker exiting (pid: 15)
2025-11-30 04:44:08 test-service[20251130t133945]  [2025-11-30 04:44:08 +0000] [11] [INFO] Shutting down: Master
2025-11-30 04:45:35 test-service[20251130t134300]  "GET /test/follow/s-style/hon/backoffice/follow.html HTTP/1.1" 200
2025-11-30 04:45:35 test-service[20251130t134300]  "GET /_ah/start HTTP/1.1" 404
2025-11-30 04:45:36 test-service[20251130t134300]  [2025-11-30 04:45:36 +0000] [11] [INFO] Starting gunicorn 21.2.0
2025-11-30 04:45:36 test-service[20251130t134300]  [2025-11-30 04:45:36 +0000] [11] [INFO] Listening at: http://0.0.0.0:8081 (11)
2025-11-30 04:45:36 test-service[20251130t134300]  [2025-11-30 04:45:36 +0000] [11] [INFO] Using worker: sync
2025-11-30 04:45:36 test-service[20251130t134300]  [2025-11-30 04:45:36 +0000] [14] [INFO] Booting worker with pid: 14
2025-11-30 04:45:48 test-service[20251130t134300]  "GET /test/follow/s-style/hon/backoffice/follow.html HTTP/1.1" 200
2025-11-30 04:50:49 test-service[20251130t134300]  "GET /_ah/stop HTTP/1.1" 404
2025-11-30 04:50:50 test-service[20251130t134300]  [2025-11-30 04:50:50 +0000] [11] [INFO] Handling signal: term
2025-11-30 04:50:50 test-service[20251130t134300]  [2025-11-30 04:50:50 +0000] [14] [INFO] Worker exiting (pid: 14)
2025-11-30 04:50:50 test-service[20251130t134300]  [2025-11-30 04:50:50 +0000] [11] [INFO] Shutting down: Master
2025-11-30 04:45:35 test-service[20251130t134300]  "GET /test/follow/s-style/hon/backoffice/follow.html HTTP/1.1" 200
2025-11-30 04:45:35 test-service[20251130t134300]  "GET /_ah/start HTTP/1.1" 404
2025-11-30 04:45:36 test-service[20251130t134300]  [2025-11-30 04:45:36 +0000] [11] [INFO] Starting gunicorn 21.2.0
2025-11-30 04:45:36 test-service[20251130t134300]  [2025-11-30 04:45:36 +0000] [11] [INFO] Listening at: http://0.0.0.0:8081 (11)
2025-11-30 04:45:36 test-service[20251130t134300]  [2025-11-30 04:45:36 +0000] [11] [INFO] Using worker: sync
2025-11-30 04:45:36 test-service[20251130t134300]  [2025-11-30 04:45:36 +0000] [14] [INFO] Booting worker with pid: 14
2025-11-30 04:45:48 test-service[20251130t134300]  "GET /test/follow/s-style/hon/backoffice/follow.html HTTP/1.1" 200
2025-11-30 04:50:49 test-service[20251130t134300]  "GET /_ah/stop HTTP/1.1" 404
2025-11-30 04:50:50 test-service[20251130t134300]  [2025-11-30 04:50:50 +0000] [11] [INFO] Handling signal: term
2025-11-30 04:50:50 test-service[20251130t134300]  [2025-11-30 04:50:50 +0000] [14] [INFO] Worker exiting (pid: 14)
2025-11-30 04:50:50 test-service[20251130t134300]  [2025-11-30 04:50:50 +0000] [11] [INFO] Shutting down: Master
  % Total    % Received % Xferd  Average Speed   Time    Time     Time  Current
                                 Dload  Upload   Total   Spent    Left  Speed
  0     0   0     0   0     0     0     0  --:--:-- --:--:-- --:--:--     0* Host s-style-hrd.appspot.com:443 was resolved.
* IPv6: (none)
* IPv4: 142.250.206.212
*   Trying 142.250.206.212:443...
* schannel: disabled automatic use of client certificate
* ALPN: curl offers http/1.1
* ALPN: server accepted http/1.1
* Established connection to s-style-hrd.appspot.com (142.250.206.212 port 443) from 192.168.11.77 port 50748 
* using HTTP/1.x
> GET /test/ HTTP/1.1
> Host: s-style-hrd.appspot.com
> User-Agent: curl/8.17.0
> Accept: */*
> 
* Request completely sent off
  0     0   0     0   0     0     0     0  --:--:--  0:00:01 --:--:--     0  0     0   0     0   0     0     0     0  --:--:--  0:00:02 --:--:--     0  0     0   0     0   0     0     0     0  --:--:--  0:00:03 --:--:--     0<!DOCTYPE html PUBLIC "-//W3C//DTD XHTML 1.0 Transitional//EN" "https://www.w3.org/TR/xhtml1/DTD/xhtml1-transitional.dtd">
<html xmlns="https://www.w3.org/1999/xhtml">

<head>
<meta http-equiv="Content-Type" content="text/html; charset=UTF-8" />
<title>千種区不動産</title>
<meta name="description" content="名古屋市千種区の不動産サイトです。新築・中古マンション、一戸建、土地、豊富な不動産情報掲載" />
<meta name="keywords" content="千種区,千種,不動産,名古屋,覚王山,マンション,中古マンション,土地,一戸建" />
<link href="../css/topstyles.css" rel="stylesheet" type="text/css" media="all" />
</head>

<a name="pagetop"></a>

<body leftmargin="0" marginheight="0" marginwidth="0" topmargin="0">

<!--Wrapper-->
<div id="Wrapper">



<!--HeadBox-->
<div id="HeadBox">
<h1>名古屋市千種区を中心に、マンション・土地・新築・中古一戸建など豊富な不動産物件情報を掲載しています。不動産の査定もお気軽にご相談下さい。alidbnnlenlii</h1>
<li class="Logo"><a href="#">千種区不動産.com</a></li>
</div><!--HeadBox-->



<!--ContentsBox-->
<div id="ContentsBox">
<h3><a href="https://www.s-style.ne.jp" >S-Styleメインサイト</a></h3>

<div class="S-StyleEstateBox">
<h4><a href="https://s-style-hrd.appspot.com/show/s-style/hon/www.s-style.ne.jp/bklistmesID/bklist.html?offset=0&media=web&mesID=604180" >土地</a></h4>
<div class="TextBox">



</div>
</div>

<div class="S-StyleEstateBox">
<h4><a href="https://s-style-hrd.appspot.com/show/s-style/hon/www.s-style.ne.jp/bklistmesID/bklist.html?offset=0&media=web&mesID=593326" >新築戸建</a></h4>
<div class="TextBox">



<table width="100%" border="0" cellspacing="0" cellpadding="0">
  <tr height="11">
    <td width="11" height="11" background="../img/top-img/01.jpg"></td>
    <td height="11" background="../img/top-img/02.jpg"></td>
    <td width="11" height="11" background="../img/top-img/03.jpg"></td>
  </tr>
  <tr>
    <td width="11" background="../img/top-img/08.jpg"></td>
    <td><table width="100%" border="0" cellspacing="5" cellpadding="0">
        <tr>
          <td align="left" valign="top"><p class="class-title-article-top"><a href="https://s-style-hrd.appspot.com/show/s-style/hon/www.s-style.ne.jp/bkdata/article.html?media=web&amp;id=53153" >【53153】</a></p>
            <table width="100%" border="0" cellspacing="0" cellpadding="0">
              <tr>
                <td align="left">


<span class="class14red">■令和７年９月初旬完成予定■ 
◎広いリビング（約24.8帖） 
◎床暖房完備（ＬＤＫ・洗面室） 
◎充実した収納スペース 
◎ビルトインガレージ2台 
◎長期優良認定住宅 </span>
<br />

<span class="class-orange">●</span>価　格
15,000万円（税込）
<br />
<span class="class-orange">●</span>交　通
桜通線　
吹上駅　
4分　
　鶴舞線　
御器所駅　
12分　



<br />

<span class="class-orange">●</span>面　積







<br />
<span class="class-orange">●</span>間　取
3LDK
<br />
                  </td>
                <td align="right" valign="bottom"><a href="https://s-style-hrd.appspot.com/show/s-style/hon/www.s-style.ne.jp/bkdata/article.html?media=web&amp;id=53153" ><img src="https://www.chikusaku-mansion.com/article/cmn_img/b-kuwashiku.jpg" alt="詳しくはこちら" width="107" height="19" border="0" vspace="3" /></a></td>
              </tr>
            </table></td>
        </tr>
      </table></td>
    <td width="11" background="../img/top-img/04.jpg"></td>
  </tr>
  <tr height="11">
    <td width="11" height="11" background="../img/top-img/07.jpg"></td>
    <td height="11" background="../img/top-img/06.jpg"></td>
    <td width="11" height="11" background="../img/top-img/05.jpg"></td>
  </tr>
</table>
<br />



</div>
</div>

<div class="S-StyleEstateBox">
<h4><a href="https://s-style-hrd.appspot.com/show/s-style/hon/www.s-style.ne.jp/bklistmesID/bklist.html?offset=0&media=web&mesID=599278">中古戸建</a></h4>
<div class="TextBox">



<table width="100%" border="0" cellspacing="0" cellpadding="0">
  <tr height="11">
    <td width="11" height="11" background="../img/top-img/01.jpg"></td>
    <td height="11" background="../img/top-img/02.jpg"></td>
    <td width="11" height="11" background="../img/top-img/03.jpg"></td>
  </tr>
  <tr>
    <td width="11" background="../img/top-img/08.jpg"></td>
    <td><table width="100%" border="0" cellspacing="5" cellpadding="0">
        <tr>
          <td align="left" valign="top"><p class="class-title-article-top"><a href="https://s-style-hrd.appspot.com/show/s-style/hon/www.s-style.ne.jp/bkdata/article.html?media=web&amp;id=53128" >【53128】</a></p>
            <table width="100%" border="0" cellspacing="0" cellpadding="0">
              <tr>
                <td align="left">


<span class="class14red">◆広々とした約20帖のLDK 
◆充実した収納スペース 
（階段下収納・シューズインクローゼット） 
◆駐車スペース有り 
◆市バス「香流橋東」停より徒歩約3分 
栄・市役所・茶屋ヶ坂までダイレクトアクセス可 </span>
<br />

<span class="class-orange">●</span>価　格
3,800万円（税込）
<br />
<span class="class-orange">●</span>交　通









<br />

<span class="class-orange">●</span>面　積







<br />
<span class="class-orange">●</span>間　取
3LDK
<br />
                  </td>
                <td align="right" valign="bottom"><a href="https://s-style-hrd.appspot.com/show/s-style/hon/www.s-style.ne.jp/bkdata/article.html?media=web&amp;id=53128" ><img src="https://www.chikusaku-mansion.com/article/cmn_img/b-kuwashiku.jpg" alt="詳しくはこちら" width="107" height="19" border="0" vspace="3" /></a></td>
              </tr>
            </table></td>
        </tr>
      </table></td>
    <td width="11" background="../img/top-img/04.jpg"></td>
  </tr>
  <tr height="11">
    <td width="11" height="11" background="../img/top-img/07.jpg"></td>
    <td height="11" background="../img/top-img/06.jpg"></td>
    <td width="11" height="11" background="../img/top-img/05.jpg"></td>
  </tr>
</table>
<br />

<a href="https://www.s-style.ne.jp" >名古屋 千種 マンション 不動産 株式会社S-Style</a>



</div>
</div>

<div class="S-StyleEstateBox">
<h4><a href="https://s-style-hrd.appspot.com/show/s-style/hon/www.s-style.ne.jp/bklistmesID/bklist.html?offset=0&media=web&mesID=595317" >中古マンション</a></h4>
<div class="TextBox">


<table width="100%" border="0" cellspacing="0" cellpadding="0">
  <tr height="11">
    <td width="11" height="11" background="../img/top-img/01.jpg"></td>
    <td height="11" background="../img/top-img/02.jpg"></td>
    <td width="11" height="11" background="../img/top-img/03.jpg"></td>
  </tr>
  <tr>
    <td width="11" background="../img/top-img/08.jpg"></td>
    <td><table width="100%" border="0" cellspacing="5" cellpadding="0">
        <tr>
          <td align="left" valign="top"><p class="class-title-article-top"><a href="https://s-style-hrd.appspot.com/show/s-style/hon/www.s-style.ne.jp/bkdata/article.html?media=web&amp;id=53127" >【53127】ライフヴィラ本山日和町</a></p>
            <table width="100%" border="0" cellspacing="0" cellpadding="0">
              <tr>
                <td align="left">


<span class="class14red">◆2023年4月リフォーム完成 
・ＬＤ・洋室３室・廊下フローリング張替、全室クロス貼替 
・キッチン・浴室・洗面化粧台（下部のみ）・トイレ交換、給湯器交換 
洗濯パン、洗濯水栓交換、網戸張替 
・和室畳表替え、襖張替、巾木張替、ハウスクリーニング等 

※1F駐車場の為、所在階数は4F </span>
<br />

<span class="class-orange">●</span>価　格
4,098万円（税込）
<br />
<span class="class-orange">●</span>交　通
東山線　
本山駅　
7分　






<br />

<span class="class-orange">●</span>面　積


専有面積/100.26
m<sup>2</sup>



 　バルコニー（テラス）/9.46
m<sup>2</sup>




<br />
<span c< HTTP/1.1 200 OK
< content-type: text/html; charset=utf-8
< vary: Accept-Encoding
< x-cloud-trace-context: ebfe89cef138c24e54bcde1903445e3d;o=1
< date: Sun, 30 Nov 2025 05:27:48 GMT
< server: Google Frontend
< Content-Length: 14239
< Alt-Svc: h3=":443"; ma=2592000,h3-29=":443"; ma=2592000
< 
{ [9298 bytes data]
 75 14239  75 10667   0     0  2928     0   0:00:04  0:00:03  0:00:01  2930lass="class-orange">●</span>間　取
4LDK
<br />
                  </td>
                <td align="right" valign="bottom"><a href="https://s-style-hrd.appspot.com/show/s-style/hon/www.s-style.ne.jp/bkdata/article.html?media=web&amp;id=53127" ><img src="https://www.chikusaku-mansion.com/article/cmn_img/b-kuwashiku.jpg" alt="詳しくはこちら" width="107" height="19" border="0" vspace="3" /></a></td>
              </tr>
            </table></td>
        </tr>
      </table></td>
    <td width="11" background="../img/top-img/04.jpg"></td>
  </tr>
  <tr height="11">
    <td width="11" height="11" background="../img/top-img/07.jpg"></td>
    <td height="11" background="../img/top-img/06.jpg"></td>
    <td width="11" height="11" background="../img/top-img/05.jpg"></td>
  </tr>
</table>
<br />


<a href="https://www.s-style.ne.jp" >名古屋 千種 マンション 不動産 株式会社S-Style</a>



</div>
</div>

<div class="S-StyleEstateBox">
<h4><a href="https://s-style-hrd.appspot.com/show/s-style/hon/www.s-style.ne.jp/bklistmesID/bklist.html?offset=0&media=web&mesID=602284" >収益物件</a></h4>
<div class="TextBox">



<table width="100%" border="0" cellspacing="0" cellpadding="0">
  <tr height="11">
    <td width="11" height="11" background="../img/top-img/01.jpg"></td>
    <td height="11" background="../img/top-img/02.jpg"></td>
    <td width="11" height="11" background="../img/top-img/03.jpg"></td>
  </tr>
  <tr>
    <td width="11" background="../img/top-img/08.jpg"></td>
    <td><table width="100%" border="0" cellspacing="5" cellpadding="0">
        <tr>
          <td align="left" valign="top"><p class="class-title-article-top"><a href="https://s-style-hrd.appspot.com/show/s-style/hon/www.s-style.ne.jp/bkdata/article.html?media=web&amp;id=53152" >【53152】リサイクルショップ最良市場守山本店</a></p>
            <table width="100%" border="0" cellspacing="0" cellpadding="0">
              <tr>
                <td align="left">


<span class="class-orange">●</span>価　格
33,000万円(税込)
<br />
<span class="class-orange">●</span>交　通
瀬戸線　
印場駅　
7分　
　瀬戸線　
大森・金城学院前駅　
16分　



<br />

<span class="class-orange">●</span>面　積







<br />
<span class="class-orange">●</span>間　取

<br />
                  </td>
                <td align="right" valign="bottom"><a href="https://s-style-hrd.appspot.com/show/s-style/hon/www.s-style.ne.jp/bkdata/article.html?media=web&amp;id=53152" ><img src="https://www.chikusaku-mansion.com/article/cmn_img/b-kuwashiku.jpg" alt="詳しくはこちら" width="107" height="19" border="0" vspace="3" /></a></td>
              </tr>
            </table></td>
        </tr>
      </table></td>
    <td width="11" background="../img/top-img/04.jpg"></td>
  </tr>
  <tr height="11">
    <td width="11" height="11" background="../img/top-img/07.jpg"></td>
    <td height="11" background="../img/top-img/06.jpg"></td>
    <td width="11" height="11" background="../img/top-img/05.jpg"></td>
  </tr>
</table>
<br />

<a href="https://www.s-style.ne.jp" >名古屋 千種 マンション 不動産 株式会社S-Style</a>





</div>
</div>

<div class="S-StyleEstateBox">
<h4><a href="https://s-style-hrd.appspot.com/show/s-style/hon/www.s-style.ne.jp/bklistmesID/bklist.html?offset=0&media=web&mesID=611083" >賃貸</a></h4>
<div class="TextBox">




</div>
</div>



<h3><a href="https://www.chikusaku-mansion.com/">千種区マンション.com</a></h3>

<div class="MansionEstateBox">
<h4><a href="https://www.chikusaku-mansion.com/">新着マンション情報</a></h4>
<div class="TextBox">



<table width="100%" border="0" cellspacing="0" cellpadding="0">
  <tr height="11">
    <td width="11" height="11" background="../img/top-img/01.jpg"></td>
    <td height="11" background="../img/top-img/02.jpg"></td>
    <td width="11" height="11" background="../img/top-img/03.jpg"></td>
  </tr>
  <tr>
    <td width="11" background="../img/top-img/08.jpg"></td>
    <td><table width="100%" border="0" cellspacing="5" cellpaddin100 14239 100 14239   0     0  3908     0   0:00:03  0:00:03 --:--:--  3910g="0">
        <tr>
          <td align="left" valign="top"><p class="class-title-article-top"><a href="https://s-style-hrd.appspot.com/show/s-style/hon/www.chikusaku-mansion.com/bkdata/article.html?media=web&amp;id=53127" >【53127】ライフヴィラ本山日和町</a></p>
            <table width="100%" border="0" cellspacing="0" cellpadding="0">
              <tr>
                <td align="left">


<br />

<span class="class14red"><a href="https://s-style-hrd.appspot.com/show/s-style/hon/www.chikusaku-mansion.com/bkdata/article.html?media=web&amp;id=53127" >この物件は会員のみ公開しております。新規会員登録／ログインはこちらです。</a></span>

<br />
                  </td>
                <td align="right" valign="bottom"><a href="https://s-style-hrd.appspot.com/show/s-style/hon/www.chikusaku-mansion.com/bkdata/article.html?media=web&amp;id=53127" ><img src="https://www.chikusaku-mansion.com/article/cmn_img/b-kuwashiku.jpg" alt="詳しくはこちら" width="107" height="19" border="0" vspace="3" /></a></td>
              </tr>
            </table></td>
        </tr>
      </table></td>
    <td width="11" background="../img/top-img/04.jpg"></td>
  </tr>
  <tr height="11">
    <td width="11" height="11" background="../img/top-img/07.jpg"></td>
    <td height="11" background="../img/top-img/06.jpg"></td>
    <td width="11" height="11" background="../img/top-img/05.jpg"></td>
  </tr>
</table>



<br />

<a href="https://www.chikusaku-mansion.com/">名古屋 千種 マンション 千種区マンション.com</a>


<br />




</div>
</div>


</div><!--ContentsBox-->



<div id="FooterBox">
<h5><a href="https://www.s-style.ne.jp" >名古屋 千種 マンション 不動産 株式会社S-Style</a></h5>
<h6>〒464-0821 名古屋市千種区末盛通一丁目1番地　弘法屋本店ビル3Ｂ<br />TEL 052-751-5900　FAX 052-751-8100</h6>
</div>


</div><!--Wrapper-->


</body>

</html>
* Connection #0 to host s-style-hrd.appspot.com:443 left intact
  % Total    % Received % Xferd  Average Speed   Time    Time     Time  Current
                                 Dload  Upload   Total   Spent    Left  Speed
  0     0   0     0   0     0     0     0  --:--:-- --:--:-- --:--:--     0  0     0   0     0   0     0     0     0  --:--:--  0:00:01 --:--:--     0  0 14239   0     0   0     0     0     0  --:--:--  0:00:01 --:--:--     0  0 14239   0     0   0     0     0     0  --:--:--  0:00:01 --:--:--     0HTTP/1.1 200 OK
content-type: text/html; charset=utf-8
vary: Accept-Encoding
x-cloud-trace-context: 580bf5c68daee82c3f7f0be2aff258d3;o=1
Content-Length: 14239
date: Sun, 30 Nov 2025 05:28:00 GMT
server: Google Frontend
Alt-Svc: h3=":443"; ma=2592000,h3-29=":443"; ma=2592000


2025-11-30 04:41:32 test-service[20251130t133945]  "GET /test/follow/s-style/hon/backoffice/follow.html HTTP/1.1" 500
2025-11-30 04:41:32 test-service[20251130t133945]  "GET /_ah/start HTTP/1.1" 404
2025-11-30 04:41:32 test-service[20251130t133945]  [2025-11-30 04:41:32 +0000] [11] [INFO] Starting gunicorn 21.2.0
2025-11-30 04:41:32 test-service[20251130t133945]  [2025-11-30 04:41:32 +0000] [11] [INFO] Listening at: http://0.0.0.0:8081 (11)
2025-11-30 04:41:32 test-service[20251130t133945]  [2025-11-30 04:41:32 +0000] [11] [INFO] Using worker: sync
2025-11-30 04:41:32 test-service[20251130t133945]  [2025-11-30 04:41:32 +0000] [15] [INFO] Booting worker with pid: 15
2025-11-30 04:41:34 test-service[20251130t133945]  [2025-11-30 04:41:34,618] ERROR in app: Exception on /test/follow/s-style/hon/backoffice/follow.html [GET]
